,date,amount,concept,origin,total
64,2018-02-08,-2.6605802880518965,Public train,dummy,1189.3341187198932
65,2018-02-09,-2.1329549530839946,Public train,dummy,1187.2011637668093
66,2018-02-10,-2.8037904941314906,Public bus,dummy,1184.3973732726777
67,2018-02-10,-12.0,Cinemasi,dummy,1172.3973732726777
68,2018-02-11,-1.33289766586225,Public bus,dummy,1171.0644756068154
69,2018-02-13,-11.159674926295093,Deli Feast,dummy,1159.9048006805203
70,2018-02-13,-40.31789054217593,Yums N Food,dummy,1119.5869101383444
71,2018-02-13,-2.077236219527141,Public bus,dummy,1117.5096739188173
72,2018-02-13,-25.47386216915685,Fun Gas,dummy,1092.0358117496605
73,2018-02-14,-23.360543275314125,Deli Feast,dummy,1068.6752684743465
74,2018-02-14,-1.8914508147225642,Public bus,dummy,1066.783817659624
75,2018-02-15,-50.25065221247708,Marineara,dummy,1016.5331654471469
76,2018-02-16,-2.202061339759709,Public bus,dummy,1014.3311041073872
77,2018-02-17,-2.140961157663672,Public train,dummy,1012.1901429497235
78,2018-02-18,-1.5656388573912503,Public train,dummy,1010.6245040923322
79,2018-02-18,-33.15807902624215,Yums N Food,dummy,977.4664250660901
80,2018-02-19,-2.655518711340097,Public bus,dummy,974.81090635475
81,2018-02-20,-2.370912001992519,Public bus,dummy,972.4399943527575
82,2018-02-21,-16.897562338624454,The Hungry Harvest,dummy,955.542432014133
83,2018-02-21,-41.40382149172727,Yums N Food,dummy,914.1386105224058
84,2018-02-22,-2.354143059918367,Public bus,dummy,911.7844674624874
85,2018-02-23,-22.62963478447674,Bistro Captain,dummy,889.1548326780107
86,2018-02-23,-19.700369173386097,Fun Gas,dummy,869.4544635046246
87,2018-02-24,-1.8791135116369475,Public bus,dummy,867.5753499929876
88,2018-02-25,-1.529663006031438,Public train,dummy,866.0456869869562
89,2018-02-26,-3.099175506855892,Public bus,dummy,862.9465114801003
90,2018-02-26,-40.21779032097587,Marineara,dummy,822.7287211591245
91,2018-02-26,-12.0,Yum Popcorn Horizon,dummy,810.7287211591245
92,2018-02-27,-2.3525093420788408,Public bus,dummy,808.3762118170456
93,2018-02-28,-30.0,Electricity,dummy,778.3762118170456
94,2018-03-01,-15.0,netflix,dummy,763.3762118170456
95,2018-03-01,2000.0,Acme Corporation,dummy,2763.3762118170457
96,2018-03-01,-50.0,secret payment,dummy,2713.3762118170457
97,2018-03-01,-800.0,TRANSFER TO MR. HOUSE HOLDER,dummy,1913.3762118170457
98,2018-03-02,-1.888967303365723,Public bus,dummy,1911.48724451368
99,2018-03-03,-50.0,Hulking Center,dummy,1861.48724451368
100,2018-03-03,-2.297394050723852,Public bus,dummy,1859.1898504629562
101,2018-03-04,-2.1486034517034374,Public train,dummy,1857.0412470112528
102,2018-03-05,-1.2313935846400075,Public train,dummy,1855.8098534266128
103,2018-03-05,-48.71491212537828,Yum Market,dummy,1807.0949413012345
104,2018-03-05,-20.0,Internet,dummy,1787.0949413012345
105,2018-03-06,-1.9589728695976578,Public train,dummy,1785.135968431637
106,2018-03-06,-43.345403882365034,Yum Market,dummy,1741.790564549272
107,2018-03-07,-1.152552578543222,Public bus,dummy,1740.6380119707287
108,2018-03-08,-1.6083154427039696,Public train,dummy,1739.0296965280247
109,2018-03-09,-2.1579535846421978,Public bus,dummy,1736.8717429433825
110,2018-03-10,-44.09800914103263,Yum Market,dummy,1692.7737338023499
111,2018-03-11,-1.8722051938785398,Public train,dummy,1690.9015286084714
112,2018-03-12,-21.862491002760606,Bistro Captain,dummy,1669.0390376057107
113,2018-03-12,-2.2691702958645155,Public bus,dummy,1666.7698673098462
114,2018-03-12,-36.00069099180923,Yum Market,dummy,1630.769176318037
115,2018-03-14,-33.674152274717535,Yum Market,dummy,1597.0950240433194
116,2018-03-15,-17.123523908365385,Bistro Captain,dummy,1579.971500134954
117,2018-03-16,-2.7985233379976315,Public bus,dummy,1577.1729767969564
118,2018-03-16,-41.207467000755315,Yums N Food,dummy,1535.965509796201
119,2018-03-17,-1.9807663183702449,Public bus,dummy,1533.9847434778308
120,2018-03-18,-12.0,Cinemasi,dummy,1521.9847434778308
121,2018-03-19,-38.39372624319142,Yum Market,dummy,1483.5910172346394
122,2018-03-19,-2.1143922781124984,Public train,dummy,1481.4766249565268
123,2018-03-20,-36.7604893227637,Yum Market,dummy,1444.716135633763
124,2018-03-20,-18.968899358833998,Bistro Captain,dummy,1425.747236274929
125,2018-03-21,-27.67260664575266,Marineara,dummy,1398.0746296291763
126,2018-03-22,-1.1044700753646057,Public train,dummy,1396.9701595538118
127,2018-03-22,-44.05891905805605,Marineara,dummy,1352.9112404957557
128,2018-03-22,-12.0,Cinemasi,dummy,1340.9112404957557
129,2018-03-23,-1.471130101819274,Public bus,dummy,1339.4401103939365
130,2018-03-24,-2.0593950094506464,Public train,dummy,1337.380715384486
131,2018-03-25,-1.9338172495109165,Public train,dummy,1335.446898134975
132,2018-03-26,-28.53538404025948,Fun Gas,dummy,1306.9115140947156
133,2018-03-26,-21.999928498408426,Deli Feast,dummy,1284.911585596307
134,2018-03-27,-2.17045692511367,Public train,dummy,1282.7411286711933
135,2018-03-27,-24.389528894411892,Bistro Captain,dummy,1258.3515997767815
136,2018-03-28,-26.728928226378127,Deli Feast,dummy,1231.6226715504033
137,2018-03-28,-31.97658370054518,Fun Gas,dummy,1199.646087849858
138,2018-03-28,-2.2335131119372242,Public bus,dummy,1197.4125747379207
139,2018-03-28,-30.0,Electricity,dummy,1167.4125747379207
140,2018-03-29,-0.9709923885276615,Public bus,dummy,1166.441582349393
141,2018-04-01,-15.0,netflix,dummy,1151.441582349393
142,2018-04-01,-800.0,TRANSFER TO MR. HOUSE HOLDER,dummy,351.441582349393
143,2018-04-01,-33.807715899640044,Yum Market,dummy,317.633866449753
144,2018-04-01,-50.0,secret payment,dummy,267.633866449753
145,2018-04-01,-1.9518162983934846,Public bus,dummy,265.6820501513595
146,2018-04-01,2000.0,Acme Corporation,dummy,2265.6820501513594
147,2018-04-02,-25.53536137920085,Roadside Petrol,dummy,2240.1466887721585
148,2018-04-02,-1.906747801190777,Public bus,dummy,2238.239940970968
149,2018-04-03,-50.0,Hulking Center,dummy,2188.239940970968
150,2018-04-03,-41.170418866786136,Yums N Food,dummy,2147.0695221041815
151,2018-04-03,-1.9826843534580472,Public train,dummy,2145.0868377507236
152,2018-04-04,-1.6051975002298415,Public bus,dummy,2143.481640250494
153,2018-04-04,-12.0,Cinemasi,dummy,2131.481640250494
154,2018-04-04,-14.96412726140246,Deli Feast,dummy,2116.5175129890913
155,2018-04-05,-25.445463675665707,Yums N Food,dummy,2091.0720493134254
156,2018-04-05,-1.645663325956281,Public train,dummy,2089.426385987469
157,2018-04-05,-20.0,Internet,dummy,2069.426385987469
158,2018-04-06,-46.12091229227475,Yum Market,dummy,2023.3054736951942
159,2018-04-06,-2.6764184853559048,Public train,dummy,2020.6290552098383
160,2018-04-07,-1.939930292730605,Public train,dummy,2018.6891249171076
161,2018-04-07,-41.504409708077205,Yums N Food,dummy,1977.1847152090304
162,2018-04-09,-2.020929103714367,Public bus,dummy,1975.163786105316
163,2018-04-12,-19.14591385626055,Bistro Captain,dummy,1956.0178722490555
164,2018-04-12,-41.37235491041683,Yum Market,dummy,1914.6455173386387
165,2018-04-13,-1.7904686958330578,Public train,dummy,1912.8550486428055
166,2018-04-14,-37.212787343670655,Yum Market,dummy,1875.6422612991348
167,2018-04-15,-14.16741582499735,Bistro Captain,dummy,1861.4748454741375
168,2018-04-15,-2.878314320063946,Public bus,dummy,1858.5965311540735
169,2018-04-16,-22.2659797199305,Bistro Captain,dummy,1836.330551434143
170,2018-04-17,-27.21744071964644,Deli Feast,dummy,1809.1131107144965
171,2018-04-17,-1.5342058896706066,Public bus,dummy,1807.578904824826
172,2018-04-18,-2.3501295613029454,Public train,dummy,1805.228775263523
173,2018-04-18,-27.51499057697278,Roadside Petrol,dummy,1777.71378468655
174,2018-04-19,-2.5902225752844905,Public bus,dummy,1775.1235621112655
175,2018-04-20,-3.0152815515878677,Public train,dummy,1772.1082805596777
176,2018-04-21,-1.9248655779693564,Public bus,dummy,1770.1834149817084
177,2018-04-22,-2.302179380400261,Public bus,dummy,1767.8812356013082
178,2018-04-23,-1.416994330965429,Public bus,dummy,1766.4642412703427
179,2018-04-24,-25.962548038714605,Deli Feast,dummy,1740.501693231628
180,2018-04-24,-1.609158134054423,Public train,dummy,1738.8925350975735
181,2018-04-24,-25.99057410402158,Marineara,dummy,1712.901960993552
182,2018-04-25,-2.2059436837798456,Public train,dummy,1710.696017309772
183,2018-04-26,-1.8856184101054345,Public bus,dummy,1708.8103988996666
184,2018-04-28,-53.71210435266083,Yum Market,dummy,1655.0982945470057
185,2018-04-28,-30.0,Electricity,dummy,1625.0982945470057
186,2018-04-29,-33.452785582591446,Yum Market,dummy,1591.6455089644141
187,2018-04-29,-12.0,Yum Popcorn Horizon,dummy,1579.6455089644141
188,2018-05-01,-18.59769021308137,The Hungry Harvest,dummy,1561.0478187513327
189,2018-05-01,-2.547436428053392,Public bus,dummy,1558.5003823232794
190,2018-05-01,-800.0,TRANSFER TO MR. HOUSE HOLDER,dummy,758.5003823232794
191,2018-05-01,2000.0,Acme Corporation,dummy,2758.500382323279
192,2018-05-01,-50.0,secret payment,dummy,2708.500382323279
193,2018-05-01,-15.0,netflix,dummy,2693.500382323279
194,2018-05-02,-50.7053341621188,Yums N Food,dummy,2642.79504816116
195,2018-05-02,-1.9844029565819727,Public train,dummy,2640.810645204578
196,2018-05-03,-1.9947357141660034,Public train,dummy,2638.815909490412
197,2018-05-03,-50.0,Hulking Center,dummy,2588.815909490412
198,2018-05-04,-34.73946101419385,Fun Gas,dummy,2554.0764484762185
199,2018-05-05,-20.0,Internet,dummy,2534.0764484762185
200,2018-05-05,-20.938411412442967,Deli Feast,dummy,2513.1380370637758
201,2018-05-05,-47.367716551315795,Yums N Food,dummy,2465.77032051246
202,2018-05-05,-1.7358407947937196,Public train,dummy,2464.0344797176663
203,2018-05-07,-20.732822754428398,The Hungry Harvest,dummy,2443.3016569632377
204,2018-05-07,-1.4694429614064937,Public train,dummy,2441.8322140018313
205,2018-05-08,-49.17358319089905,Marineara,dummy,2392.658630810932
206,2018-05-08,-2.504878516941715,Public train,dummy,2390.1537522939907
207,2018-05-09,-2.596391026025654,Public train,dummy,2387.557361267965
208,2018-05-10,-2.4849772164779513,Public train,dummy,2385.072384051487
209,2018-05-10,-31.13251454908129,Marineara,dummy,2353.9398695024056
210,2018-05-11,-0.5879335098315994,Public bus,dummy,2353.351935992574
211,2018-05-11,-45.57694466182599,Yums N Food,dummy,2307.774991330748
212,2018-05-12,-1.706308380074347,Public train,dummy,2306.0686829506735
213,2018-05-13,-1.706093853340921,Public train,dummy,2304.3625890973326
214,2018-05-14,-2.277245146860785,Public train,dummy,2302.0853439504717
215,2018-05-15,-1.651640321219639,Public train,dummy,2300.4337036292522
216,2018-05-16,-44.86584901817844,Marineara,dummy,2255.567854611074
217,2018-05-17,-12.0,Cinemasi,dummy,2243.567854611074
218,2018-05-18,-50.302574649931394,Marineara,dummy,2193.2652799611424
219,2018-05-19,-22.964448415313043,Bistro Captain,dummy,2170.300831545829
220,2018-05-19,-1.6626549384083424,Public bus,dummy,2168.638176607421
221,2018-05-20,-2.4480859869144105,Public bus,dummy,2166.1900906205065
222,2018-05-21,-42.66245666706251,Yum Market,dummy,2123.527633953444
223,2018-05-23,-2.110063555357126,Public train,dummy,2121.417570398087
224,2018-05-25,-2.03536547222069,Public train,dummy,2119.382204925866
225,2018-05-25,-32.642185170648354,Bistro Captain,dummy,2086.740019755218
226,2018-05-26,-12.0,Cinemasi,dummy,2074.740019755218
227,2018-05-27,-36.686194785863066,Yums N Food,dummy,2038.0538249693548
228,2018-05-28,-25.21254176287264,Deli Feast,dummy,2012.841283206482
229,2018-05-28,-33.06559565746519,Fun Gas,dummy,1979.775687549017
230,2018-05-28,-2.106803366826271,Public train,dummy,1977.6688841821908
231,2018-05-28,-30.0,Electricity,dummy,1947.6688841821908
232,2018-05-29,-2.0936488431419495,Public train,dummy,1945.575235339049
233,2018-05-29,-35.9071400229786,Yum Market,dummy,1909.6680953160703
234,2018-05-30,-1.1445770496395347,Public train,dummy,1908.5235182664308
235,2018-06-01,-35.81199371583615,Marineara,dummy,1872.7115245505945
236,2018-06-01,-50.0,secret payment,dummy,1822.7115245505945
237,2018-06-01,-800.0,TRANSFER TO MR. HOUSE HOLDER,dummy,1022.7115245505945
238,2018-06-01,-15.0,netflix,dummy,1007.7115245505945
239,2018-06-01,2000.0,Acme Corporation,dummy,3007.7115245505947
240,2018-06-03,-44.108057828679904,Yums N Food,dummy,2963.6034667219146
241,2018-06-03,-50.0,Hulking Center,dummy,2913.6034667219146
242,2018-06-04,-34.1126120355403,Marineara,dummy,2879.4908546863744
243,2018-06-05,-20.0,Internet,dummy,2859.4908546863744
244,2018-06-05,-2.1589286419717837,Public train,dummy,2857.3319260444027
245,2018-06-06,-44.192629870312615,Yum Market,dummy,2813.1392961740903
246,2018-06-07,-2.0472464554796437,Public bus,dummy,2811.0920497186107
247,2018-06-07,-25.584363342501774,The Hungry Harvest,dummy,2785.5076863761087
248,2018-06-08,-1.8321075275731464,Public train,dummy,2783.6755788485357
249,2018-06-08,-33.704754673578314,Roadside Petrol,dummy,2749.970824174957
250,2018-06-10,-2.3831728483388592,Public bus,dummy,2747.5876513266185
251,2018-06-10,-42.166242551247194,Marineara,dummy,2705.421408775371
252,2018-06-11,-23.589731811859284,Marineara,dummy,2681.831676963512
253,2018-06-11,-2.6435787230635293,Public train,dummy,2679.1880982404487
254,2018-06-12,-1.8112962175235507,Public bus,dummy,2677.376802022925
255,2018-06-13,-29.847520849983596,The Hungry Harvest,dummy,2647.5292811729414
256,2018-06-14,-12.0,Yum Popcorn Horizon,dummy,2635.5292811729414
257,2018-06-14,-1.7377256038759752,Public train,dummy,2633.7915555690656
258,2018-06-15,-24.409930837407607,Deli Feast,dummy,2609.381624731658
259,2018-06-15,-2.76273365923436,Public train,dummy,2606.6188910724236
260,2018-06-15,-12.0,Yum Popcorn Horizon,dummy,2594.6188910724236
261,2018-06-16,-38.11798799373837,Yums N Food,dummy,2556.500903078685
262,2018-06-17,-2.068835460369173,Public bus,dummy,2554.432067618316
263,2018-06-18,-31.52163841233798,Fun Gas,dummy,2522.9104292059783
264,2018-06-18,-2.9620007842893705,Public bus,dummy,2519.9484284216887
265,2018-06-18,-20.823947581921555,Yum Market,dummy,2499.1244808397673
266,2018-06-19,-2.417995525094707,Public bus,dummy,2496.7064853146726
267,2018-06-20,-11.029702430760771,Deli Feast,dummy,2485.676782883912
268,2018-06-20,-1.4635171222563264,Public bus,dummy,2484.2132657616557
269,2018-06-20,-32.42095963213898,Yums N Food,dummy,2451.792306129517
270,2018-06-21,-2.5052579957585457,Public train,dummy,2449.287048133758
271,2018-06-22,-2.589248100727871,Public bus,dummy,2446.6978000330305
272,2018-06-24,-9.752977355464918,Deli Feast,dummy,2436.9448226775658
273,2018-06-24,-2.110505253869798,Public train,dummy,2434.834317423696
274,2018-06-25,-1.987261205750209,Public train,dummy,2432.847056217946
275,2018-06-26,-32.39547588556503,The Hungry Harvest,dummy,2400.4515803323807
276,2018-06-26,-2.5783511067037277,Public train,dummy,2397.873229225677
277,2018-06-27,-1.7991035521277252,Public train,dummy,2396.074125673549
278,2018-06-28,-2.0052384638945266,Public bus,dummy,2394.068887209655
279,2018-06-28,-30.0,Electricity,dummy,2364.068887209655
280,2018-06-29,-2.1922213795882772,Public train,dummy,2361.8766658300665
281,2018-06-29,-52.51627252963145,Yum Market,dummy,2309.360393300435
282,2018-07-01,-26.76375193558343,Yums N Food,dummy,2282.5966413648516
283,2018-07-01,2000.0,Acme Corporation,dummy,4282.596641364851
284,2018-07-01,-1.612696825009063,Public train,dummy,4280.983944539842
285,2018-07-01,-50.0,secret payment,dummy,4230.983944539842
286,2018-07-01,-15.0,netflix,dummy,4215.983944539842
287,2018-07-01,-14.747345392618906,Bistro Captain,dummy,4201.236599147223
288,2018-07-01,-800.0,TRANSFER TO MR. HOUSE HOLDER,dummy,3401.2365991472234
289,2018-07-03,-50.0,Hulking Center,dummy,3351.2365991472234
290,2018-07-03,-40.277263239254765,Marineara,dummy,3310.9593359079686
291,2018-07-04,-32.23000269718328,Marineara,dummy,3278.729333210785
292,2018-07-05,-32.005350210836596,Marineara,dummy,3246.7239829999485
293,2018-07-05,-20.0,Internet,dummy,3226.7239829999485
294,2018-07-05,-2.2549776862665314,Public bus,dummy,3224.469005313682
295,2018-07-07,-1.9466722617811545,Public bus,dummy,3222.5223330519007
296,2018-07-08,-1.9261880500033632,Public train,dummy,3220.596145001897
297,2018-07-08,-26.48245022075709,Bistro Captain,dummy,3194.11369478114
298,2018-07-09,-0.9905848011098468,Public bus,dummy,3193.12310998003
299,2018-07-10,-46.42319884175535,Yum Market,dummy,3146.6999111382747
300,2018-07-10,-21.60976175512605,Bistro Captain,dummy,3125.090149383149
301,2018-07-10,-1.525451320630486,Public train,dummy,3123.5646980625183
302,2018-07-11,-45.21736109063174,Yums N Food,dummy,3078.3473369718868
303,2018-07-11,-12.0,Cinemasi,dummy,3066.3473369718868
304,2018-07-12,-12.0,Cinemasi,dummy,3054.3473369718868
305,2018-07-12,-1.9647773707097536,Public train,dummy,3052.382559601177
306,2018-07-14,-17.45253601719377,Bistro Captain,dummy,3034.9300235839833
307,2018-07-14,-2.724690238171272,Public train,dummy,3032.205333345812
308,2018-07-15,-21.52450195506414,Bistro Captain,dummy,3010.6808313907477
309,2018-07-16,-1.859601590533376,Public train,dummy,3008.8212298002145
310,2018-07-16,-52.599782312141556,Marineara,dummy,2956.221447488073
311,2018-07-17,-2.187059844837248,Public bus,dummy,2954.0343876432357
312,2018-07-18,-19.926606279457072,The Hungry Harvest,dummy,2934.1077813637785
313,2018-07-18,-34.15778389593309,Roadside Petrol,dummy,2899.9499974678456
314,2018-07-18,-3.2766980543890902,Public bus,dummy,2896.6732994134563
315,2018-07-18,-50.33787068842346,Marineara,dummy,2846.3354287250327
316,2018-07-19,-58.891701137070434,Yums N Food,dummy,2787.4437275879623
317,2018-07-19,-2.377510512527426,Public train,dummy,2785.066217075435
318,2018-07-20,-23.701648580166278,Roadside Petrol,dummy,2761.3645684952685
319,2018-07-20,-2.8399283844510745,Public bus,dummy,2758.5246401108175
320,2018-07-21,-2.0794902852982435,Public train,dummy,2756.4451498255194
321,2018-07-22,-2.122537041693395,Public train,dummy,2754.322612783826
322,2018-07-23,-1.2669015011758011,Public train,dummy,2753.0557112826505
323,2018-07-25,-33.0289452286239,Yums N Food,dummy,2720.0267660540267
324,2018-07-25,-2.2438186136115026,Public train,dummy,2717.7829474404152
325,2018-07-27,-1.244468657431082,Public bus,dummy,2716.538478782984
326,2018-07-28,-30.0,Electricity,dummy,2686.538478782984
327,2018-07-28,-2.4165415286126106,Public bus,dummy,2684.1219372543715
328,2018-07-29,-1.2431743985711057,Public bus,dummy,2682.8787628558002
329,2018-08-01,-19.923617717225856,The Hungry Harvest,dummy,2662.955145138574
330,2018-08-01,-50.0,secret payment,dummy,2612.955145138574
331,2018-08-01,-800.0,TRANSFER TO MR. HOUSE HOLDER,dummy,1812.9551451385742
332,2018-08-01,-15.0,netflix,dummy,1797.9551451385742
333,2018-08-01,2000.0,Acme Corporation,dummy,3797.955145138574
334,2018-08-02,-21.226904258553862,Bistro Captain,dummy,3776.72824088002
335,2018-08-02,-24.801481228965898,Yum Market,dummy,3751.9267596510545
336,2018-08-02,-2.183625919071044,Public train,dummy,3749.7431337319836
337,2018-08-03,-1.9921488398751062,Public bus,dummy,3747.7509848921086
338,2018-08-03,-50.0,Hulking Center,dummy,3697.7509848921086
339,2018-08-05,-20.0,Internet,dummy,3677.7509848921086
340,2018-08-05,-45.79404359867665,Marineara,dummy,3631.956941293432
341,2018-08-05,-1.7556189736300178,Public bus,dummy,3630.201322319802
342,2018-08-06,-1.935123079244641,Public train,dummy,3628.2661992405574
343,2018-08-06,-22.11190681879553,The Hungry Harvest,dummy,3606.154292421762
344,2018-08-07,-1.6760188119359756,Public bus,dummy,3604.478273609826
345,2018-08-09,-26.93105709379963,Marineara,dummy,3577.5472165160263
346,2018-08-10,-2.721453496315231,Public bus,dummy,3574.8257630197113
347,2018-08-11,-30.288612807015,Yums N Food,dummy,3544.5371502126964
348,2018-08-12,-1.0815617964102766,Public bus,dummy,3543.455588416286
349,2018-08-13,-34.90975945634699,Yums N Food,dummy,3508.545828959939
350,2018-08-13,-12.0,Cinemasi,dummy,3496.545828959939
351,2018-08-13,-9.449376492039935,Deli Feast,dummy,3487.0964524678993
352,2018-08-14,-63.09719406333949,Yums N Food,dummy,3423.99925840456
353,2018-08-14,-2.393171453718204,Public bus,dummy,3421.6060869508415
354,2018-08-15,-1.9950598426549973,Public bus,dummy,3419.6110271081866
355,2018-08-16,-49.448539751655794,Yums N Food,dummy,3370.1624873565306
356,2018-08-16,-1.3855872592112863,Public train,dummy,3368.7769000973194
357,2018-08-17,-14.542344767733804,The Hungry Harvest,dummy,3354.2345553295854
358,2018-08-17,-2.966276136117551,Public bus,dummy,3351.268279193468
359,2018-08-18,-49.05520030847169,Marineara,dummy,3302.2130788849963
360,2018-08-19,-2.3701677175981857,Public train,dummy,3299.842911167398
361,2018-08-20,-2.1253620131383886,Public train,dummy,3297.71754915426
362,2018-08-21,-1.3475124441239932,Public train,dummy,3296.370036710136
363,2018-08-22,-1.666030435121308,Public bus,dummy,3294.7040062750148
364,2018-08-23,-2.1072501217013317,Public bus,dummy,3292.5967561533134
365,2018-08-24,-2.169276127709305,Public bus,dummy,3290.427480025604
366,2018-08-25,-12.0,Cinemasi,dummy,3278.427480025604
367,2018-08-26,-37.12524173784069,Yums N Food,dummy,3241.3022382877634
368,2018-08-26,-1.8835278244880143,Public bus,dummy,3239.4187104632756
369,2018-08-27,-21.623554558810596,The Hungry Harvest,dummy,3217.795155904465
370,2018-08-27,-40.32448383346444,Fun Gas,dummy,3177.4706720710005
371,2018-08-28,-49.67221045471585,Yums N Food,dummy,3127.798461616285
372,2018-08-28,-30.0,Electricity,dummy,3097.798461616285
373,2018-08-28,-24.754278549931897,Fun Gas,dummy,3073.044183066353
374,2018-08-28,-1.8188654164584772,Public bus,dummy,3071.225317649895
375,2018-08-29,-1.093483264565492,Public train,dummy,3070.1318343853295
376,2018-09-01,-17.713805894427498,Bistro Captain,dummy,3052.418028490902
377,2018-09-01,-50.0,secret payment,dummy,3002.418028490902
378,2018-09-01,2000.0,Acme Corporation,dummy,5002.418028490902
379,2018-09-01,-1.667588624559216,Public bus,dummy,5000.750439866342
380,2018-09-01,-800.0,TRANSFER TO MR. HOUSE HOLDER,dummy,4200.750439866342
381,2018-09-01,-15.0,netflix,dummy,4185.750439866342
382,2018-09-02,-1.7599186856009155,Public train,dummy,4183.990521180742
383,2018-09-02,-52.15099254614374,Marineara,dummy,4131.839528634598
384,2018-09-03,-50.0,Hulking Center,dummy,4081.8395286345976
385,2018-09-04,-23.64671821849211,Yum Market,dummy,4058.1928104161057
386,2018-09-05,-2.1959930473513665,Public bus,dummy,4055.9968173687544
